SNO,FILENAME,TIME_TAKEN,DB_SIZE,AVG_TIME_TAKEN_PER_FILE,AVG_SPACE_TAKEN_PER_FILE
131,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_215.pdf,0.8294,0.6172,0.8119,0.0047
132,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_216.pdf,0.8542,0.6211,0.8122,0.0047
133,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_217.pdf,0.8327,0.625,0.8124,0.0047
134,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_218.pdf,0.8443,0.6289,0.8126,0.0047
135,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_219.pdf,0.9764,0.6328,0.8138,0.0047
136,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_22.pdf,0.8534,0.6367,0.8141,0.0047
137,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_220.pdf,0.8793,0.6445,0.8146,0.0047
138,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_221.pdf,0.892,0.6484,0.8152,0.0047
139,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_222.pdf,0.8514,0.6523,0.8154,0.0047
140,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_223.pdf,0.8491,0.6562,0.8157,0.0047
141,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_224.pdf,0.844,0.6602,0.8159,0.0047
142,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_225.pdf,0.8805,0.6641,0.8163,0.0047
143,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_226.pdf,0.854,0.668,0.8166,0.0047
144,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_227.pdf,0.8504,0.6719,0.8168,0.0047
145,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_228.pdf,0.8602,0.6797,0.8171,0.0047
146,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_229.pdf,0.8559,0.6836,0.8174,0.0047
147,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_23.pdf,0.7985,0.6875,0.8173,0.0047
148,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_230.pdf,0.8431,0.6914,0.8174,0.0047
149,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_231.pdf,0.8281,0.6953,0.8175,0.0047
